Title,Source,Link,Date,Query
Freddie Mac CEO fired in ongoing overhaul of mortgage giant - The Washington Post,GoogleNewsRSS,https://news.google.com/rss/articles/CBMif0FVX3lxTE1vQ1ZKNU1WTUhOOEpIbGQ2bm1IS1JrSTVxQ3lKSEpzUnJBR3lGV3hUemprc0VPTUgxcnoycjJHNGdPd0FYLURrSl9VV3hBVXFjMngzSVJOSHFDcFJZR1hpQmNKbWFCbXFiQUZjV3c5UElzWlBiYVRIZktnTk15dDg?oc=5,2025-03-21 06:29:48,MacBook 2025
"Not iPhone or iPad, this is said to be the latest upcoming Apple product - India Today",GoogleNewsRSS,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNT2xrU05McXhtQ01aVTNkNzZqYURQSUhrU1NjNEhLeFhYdWZQUFR6ZmVvM3BMTGRWU0NiQzRiclM4MHJRMWhMN2pnLUpXMGJ3ZGNtVDItNzNLMnFmOUQyQXIza1g1Y2ZtNmhTU1RKRWNKaHdGV3RUX3lWdzgzckZNM0JDNHVGRGloSEVJeFEyY3ByY1lPb1BBeHZzT2N0QXNLZmNEUW9zT1dQWU83OEV0MEZoNUlpcURLTW5FRGN0cmtURXlITzdnUFNDRzBWLVZXeXdzatIB2gFBVV95cUxNTXFnWmNsRnZjWUhwZDRuekxMeUl3SWlTZjR4OVRNWng2dEE1Q0dxbVFzRUJMUGRKWC11ZWJzdi02eGhVTlRrbTI1WF8xU0dTRU0xTW9ZeDRkV3ZzYS1lY082MGZNSGdxWmh4ZzNUYWxod0I2aUJDdnJLby13TEdEbzFQWkFPSmU0NFhwMnl3X1FYMjM0Y0hQWVZVNkZGVTZ1RGhSQnhTVlJ1anR1Vk9mQ3ZEWDJhM2xGMjNsWWREOFZsaFBGT2NINXZtSlBBTF9iWm5WbVRla1huZw?oc=5,2025-03-21 06:24:54,iPhone 2025
"Made-in-India smartphone shipments rose 6% in 2024: Apple, Samsung drove 94% of exports | Report - The Economic Times",GoogleNewsRSS,https://news.google.com/rss/articles/CBMi8gFBVV95cUxNRURCck9WSkNFQUxzX2RMTENXWHVQb2k4bUNkNTN0RUpfTFZCbzlmN1ZLS1BTcVQ3UVlEZklaRjJjOF9jT3pmdlpHUXJWN0ZybG1peWdJa2xlRE11cDQ1MmkyWk1SajZyMHExWm5vYlJiZTRlLVhtcjItUkVOeURWOC1oYW9YaS1ncklpMFpWUFEyUHF0VUl6d3F1M1FWZHB5RVNoOUlodXhWRlA3ZlNpU1BTeGs4RW0wZW5kUVRnU011TElXaXVSMkVLQUV3aWpST2NhbVRQX2lDZWlhbWlXbkNtOXdZcEFPTzBGUTcyaTJoQdIB9wFBVV95cUxOZUh4QVRiNGw4dnVMeUtkdjdNam5yZWJ6TkJlWVhMNnI0X3NFbXp3MW1RUjJGempteVhiOEpmZVllcGQ0X3hVVU4zWUZ0VS1zNGZMYTZMbnN0Z3VzWURGWlFDbndEYWduMm1yRHVYaGd3Zlg2NHVzX1R2UVVQZkRPejEtaHhYV055MWVTM3g0elZ0X1pkOTVCMjV5Mmh1cHk1aWZzZmcxVWtzR2pWSTNRcERmX0tPUUZhMFBHZXpKRmJJQUNNLVdReTRXejRJNGR4OVlDbm5Fb054WjctUU03TVFMS2FYVlEzWEtodHZycFFBTC05MUlz?oc=5,2025-03-21 06:00:32,MacBook 2024
VR headset shipments decline 12% in 2023 despite Apple’s Vision Pro launch - CHOSUNBIZ - 조선비즈,GoogleNewsRSS,https://news.google.com/rss/articles/CBMiekFVX3lxTE9HMVRMTV9IYmZqWE5CYUljVnYxSWxRYjJfR0o2LXBDXzZvd3haSzVIZFB3REJVd2VSR1lkT0l0RjNOWHVLbDlvUDhRN0RRbnNFaGdJaXAzNlZLbWh4QklqMW1ONjQtOGJBb3BkbXFvbE95VHFWNlhockh30gGOAUFVX3lxTE5SdWRXOUl2bldOYURZYi04UmlVSDIzSFV6U2syRy14Mnp3NTBkVEsxdjIzSTR4dWRzS0RkN3pNWHhPek1ab05zbVZxTFNZbVEzaG1Pek45Y1E1RkU1b1ZmVWkzMFVSVHZpOURsRFEySWw0MkhaM0IyeVFnaUY0anhyNUJiMl9iRWlxa19HN1E?oc=5,2025-03-21 05:37:00,Apple Vision Pro 2023
"Dell tops India's Most Trusted Brands for 6th Year, Apple iPhone climbs to 2nd in TRA Report 2025 - MediaNews4U",GoogleNewsRSS,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPNGJOZ25IZzlKcXRFOGtjYWNxUjB3ODV2b3c3NDlydUFpWGpsaU0ycnFJS0pUUHlQNmV6QkdJZUFGOFlpdmVtYllBbXMwdkRsZENhRVdWQ0JOdVk3TlBLSXpIOGc1WVB2bVJTYXZkMHdua0V2TVJtQTB0TFoyU3FITERoaVpNbWpBOHk0Z09pY2UtNGNneXdnRlJOR2poRzhBLXphRTgxWkx4NWJ4WGp2UmhXWGU5aURCSTdodUVsYkVBUQ?oc=5,2025-03-21 05:16:10,iPhone 2025
Apple iPhone 17 Leaks Reveal New Performance Specs And A lot More- Check Details Here! - News24,GoogleNewsRSS,https://news.google.com/rss/articles/CBMivwFBVV95cUxQR0QyR0RMQThqU3c5bVNKNVBUMjZaaWV5UzNYaEZjaGhRanNwQU5GdGEwUHRoVE9yd2FUaGk4N1B3bVJzckZvenQ3ZldGQTlMLV9GSmRNQkhRcklZQmdWN0dPd0xyMXpRSTZCQ3B5NWNDdEhfMFNCQmlja0N2ZjB3UHQ3VDE2WlgwX2ZIdDdoSnNsTnYtSGtWeW1OdUVzWko1Q0VOVXFuenByalpwMDRJdXR6aEJsWjV2cWdHOXkxZw?oc=5,2025-03-21 03:24:55,iPhone 2025
Apple names new Siri chief - Tech in Asia,GoogleNewsRSS,https://news.google.com/rss/articles/CBMiZEFVX3lxTE5sVDBpamVZeG5nYjhXTjlGOUFRVTBYZUFQYXpPSTFVMmQwVl9CbmpFYThLLVV5V241ai1QWW1ROWV0b2lBYk5kZkU5alN5V3lHWE0zRzVJeTlIQlBRazVGbEd0S2Y?oc=5,2025-03-21 03:22:00,Apple Vision Pro 2025
"iPhone 17 Rumors, From a Slim 'Air' Design to the Camera Bar and Everything In Between - CNET",GoogleNewsRSS,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQcEpNNFpTN19odGxwNFI5cE41Uk1mZFlqUktpWkp0djJmWFZodFV3LUlBeC1kcWlGRXE3cUtkLVpfT0xHN0N3SFZ0c2VEQVdoVjkwNG1EN0pWSHJNbk0yUl9ZOEN1R3pISkVFQ0ZtMmM4TExhaTBULTNoM0FwQXZGazV6aU5USXVySXB2clNINFFfSnY0bFRLM3VScFR4cVF3cXBnVGY5RElJcVJEdjM3ZWdUZ3NMQmZ5?oc=5,2025-03-21 01:58:23,iPhone 2025
Apple Shuffles AI Executive Ranks in Bid to Turn Around Siri - Bloomberg,GoogleNewsRSS,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNQkVySlVBWG44OW80ODF5dGN1SFp2NVhmR2k2aUlqT2tSMkpqRFFMc0hQNWpBMTU5dWpfNzNkYzlBUHlieXE4ak1pQm1aUFNBbFBWZUFKQ0RUOWplcUdreF9Ldmd1UWlDSWdXNkh5amtuUjVPbVJkd0R2NVNHaUY2ZmdPSUY2eVJmRWhaUHdJZXl5VXVRR2x6dC00MEtpTWhLUFRza0lZNmd5c0lTSXRUZGFxWGpKZU1odkNNWFFCVVBTdzc5M2lHeg?oc=5,2025-03-20 23:42:58,MacBook 2025
"March 20, 2025 – EU forcing Apple to make more iPhone changes - 9to5Mac",GoogleNewsRSS,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5CSmwtR0VkMFNUTGVlSGdIeW5zZVIwQVNGbzNTUzUwekdOZW5Uc1NaU3hUVUdYQ2dQRzltUnRNdjlTdjRFRFFVNWJhOGtGSWJrZnpab2l1X1dDblpVcDVrMA?oc=5,2025-03-20 23:14:00,iPhone 2025
