Title_x,Source_x,Link_x,Date,Query,gpt_summary,Title_y,Link_y,Source_y,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,EMA_50,EMA_200,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR,ADX,Target
iPhone - Apple Newsroom,GoogleNewsRSS,https://news.google.com/rss/articles/CBMiQ0FVX3lxTE9DSkZzY05NR0REZ19CYUJsdE15aS0yLUFDSHE4Q3VzMDNUbTJhSW9YdHF5dlZZd3paRzlsc096b3BUZ28?oc=5,2007-01-09 23:23:21,Apple Vision Pro 2020,,iPhone - Apple Newsroom,https://news.google.com/rss/articles/CBMiQ0FVX3lxTE9DSkZzY05NR0REZ19CYUJsdE15aS0yLUFDSHE4Q3VzMDNUbTJhSW9YdHF5dlZZd3paRzlsc096b3BUZ28?oc=5,Google RSS,2.6015920139140705,2.79810291431467,2.5624698370713825,2.785764455795288,3349298400,0.0,0.0,2.5750008058547973,2.1399753201007843,2.536140273275252,2.2233903357225664,66.15938102012058,0.0041549412920138,-0.01146542272982,0.0156203640218339,2.751055687000881,2.575109088420868,2.399162489840854,0.088979807228984,33.72127290016668,1
Apple Events - Apple Newsroom,GoogleNewsRSS,https://news.google.com/rss/articles/CBMiS0FVX3lxTFBzNWM2R3FuWEtRanlvRzFpc0ZZblNPbEFIWl96RzkweWFxOEtPWS0wbWtYa1hRdEN3a2RfZUdubVpuUklXeUxMbHNnbw?oc=5,2010-07-04 21:57:14,Apple Vision Pro 2020,,Apple Events - Apple Newsroom,https://news.google.com/rss/articles/CBMiS0FVX3lxTFBzNWM2R3FuWEtRanlvRzFpc0ZZblNPbEFIWl96RzkweWFxOEtPWS0wbWtYa1hRdEN3a2RfZUdubVpuUklXeUxMbHNnbw?oc=5,Google RSS,7.538143647732431,7.551385935612834,7.318761551701027,7.431312561035156,693842800,0.0,0.0,7.742210168838499,6.602303726673126,7.651364888260027,6.636202129124679,39.31227966321239,-0.0029091462809258,0.0772955513627725,-0.0802046976436983,8.426444381721929,7.819460606575012,7.212476831428095,0.2402807047290735,20.79060705965698,1
MacBook Pro - Apple Newsroom,GoogleNewsRSS,https://news.google.com/rss/articles/CBMiSkFVX3lxTE9GM0hIN2Qzc0w3NlZ5amVmOGRrNzFQUHJwUEZJRVdSWWtseVl3c1Q4Vl93MW1lREM1MFlnSFFwcmh3b1ZET2ZTMDhn?oc=5,2012-06-11 19:58:27,Apple M1 chip 2021,,MacBook Pro - Apple Newsroom,https://news.google.com/rss/articles/CBMiSkFVX3lxTE9GM0hIN2Qzc0w3NlZ5amVmOGRrNzFQUHJwUEZJRVdSWWtseVl3c1Q4Vl93MW1lREM1MFlnSFFwcmh3b1ZET2ZTMDhn?oc=5,Google RSS,17.6866084549509,17.710081194039375,17.172308768095053,17.188560485839844,591264800,0.0,0.0,17.52964117050171,14.23317982196808,17.08761341660867,14.809543497433834,50.6772532619465,-0.0088982567678037,-0.0774917795969648,0.068593522829161,17.74391349539205,16.922141790390015,16.10037008538798,0.4338934219063323,14.931798559515128,1
Mac mini - Apple Newsroom,GoogleNewsRSS,https://news.google.com/rss/articles/CBMiRkFVX3lxTFBQWU9wVVJtcElLVGN4aVIxb2xaa0VjM19yS1JtS1JVUURwbWJpcEV2bmg4elgwZktlUXBscEN4Mzc5ZGt6Unc?oc=5,2012-10-24 14:03:37,Apple M1 chip 2023,,Mac mini - Apple Newsroom,https://news.google.com/rss/articles/CBMiRkFVX3lxTFBQWU9wVVJtcElLVGN4aVIxb2xaa0VjM19yS1JtS1JVUURwbWJpcEV2bmg4elgwZktlUXBscEN4Mzc5ZGt6Unc?oc=5,Google RSS,18.781662300327216,18.93609994501321,18.4552549600305,18.642333984375,558527200,0.0,0.0,19.97981918334961,17.65799234867096,19.51055968210668,17.53774012534853,39.80918293315194,-0.3691323975068457,-0.2787049688583055,-0.0904274286485401,20.621559150318657,19.446199893951416,18.27084063758417,0.4662926355969962,29.93921857840609,1
Inclusion & Diversity - Apple Newsroom,GoogleNewsRSS,https://news.google.com/rss/articles/CBMiR0FVX3lxTE5GbkNJNXo2QkNJOEFsVEE5dkFPTG5aQUpTSXdsa2NIMzlZM1paeHNZQ3JjVzQ3T214WDNzMjlWLVpYNUlRWWFV?oc=5,2014-08-12 20:58:05,Apple innovation 2020,,Inclusion & Diversity - Apple Newsroom,https://news.google.com/rss/articles/CBMiR0FVX3lxTE5GbkNJNXo2QkNJOEFsVEE5dkFPTG5aQUpTSXdsa2NIMzlZM1paeHNZQ3JjVzQ3T214WDNzMjlWLVpYNUlRWWFV?oc=5,Google RSS,21.271840401269447,21.45789067060437,21.176599899634702,21.256336212158203,135180000,0.0,0.0,20.75412311553955,17.99766644001007,20.5752547436356,18.34859694761992,56.45515170838546,0.125972910067496,0.1803987932747505,-0.0544258832072545,21.82291486676372,21.145351123809814,20.46778738085591,0.336273399411341,18.942136754818907,1
"MacBook Air: History, specs, pricing, review, and deals - 9to5Mac",GoogleNewsRSS,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1TQmg5bjMxRG11UGFIMVBIVkNSc1ZhQXFQeXZ5S2F2clRFdk5hamkyTFhVYWgzem95aS04TmFnbjZWU3lXMjBLTkVPZkVxQXpx?oc=5,2016-08-10 16:23:49,Apple M1 chip 2025,,"MacBook Air: History, specs, pricing, review, and deals - 9to5Mac",https://news.google.com/rss/articles/CBMiUEFVX3lxTE1TQmg5bjMxRG11UGFIMVBIVkNSc1ZhQXFQeXZ5S2F2clRFdk5hamkyTFhVYWgzem95aS04TmFnbjZWU3lXMjBLTkVPZkVxQXpx?oc=5,Google RSS,25.01332367653352,25.05704175772432,24.79473678150801,24.849958419799805,96034000,0.0,0.0,22.67739303588867,23.51514430999756,23.064265053629608,23.491995980004468,71.10246311660669,0.6907595847064982,0.540441765153156,0.1503178195533422,25.431404586955185,23.555755710601808,21.68010683424843,0.3616218980810966,33.0527418547198,0
Apple Store to Feature 5 Million Apps by 2020 With Games Setting the Pace - Innovation Village,GoogleNewsRSS,https://news.google.com/rss/articles/CBMigwFBVV95cUxQQ1JFLVBCMXpWLTNsbkhlanphN3ZJOE9lNGc0MFp3ZkczSGsxTWU3SHpBRENWS0tXVFQyY0RGalNEcFRXbEU3UFpMVHBuMlg5dEgwMUlZWEVSTXJETWZKaUlOTDRYOEFOVWl6T0lGWW1Cb2RtRjhad2lJQTJqV2V5YWpPRQ?oc=5,2016-08-11 07:00:00,Apple innovation 2020,,Apple Store to Feature 5 Million Apps by 2020 With Games Setting the Pace - Innovation Village,https://news.google.com/rss/articles/CBMigwFBVV95cUxQQ1JFLVBCMXpWLTNsbkhlanphN3ZJOE9lNGc0MFp3ZkczSGsxTWU3SHpBRENWS0tXVFQyY0RGalNEcFRXbEU3UFpMVHBuMlg5dEgwMUlZWEVSTXJETWZKaUlOTDRYOEFOVWl6T0lGWW1Cb2RtRjhad2lJQTJqV2V5YWpPRQ?oc=5,Google RSS,24.969602496253795,25.06394113228004,24.81544115761307,24.83384895324707,109938000,0.0,0.0,22.72341369628906,23.5094647026062,23.13366050067343,23.505347750882503,70.74910780306526,0.689178381545883,0.5701890884317014,0.1189892931141816,25.568534694152422,23.66703100204468,21.76552730993693,0.3535417606943732,34.45306196014084,1
Tim Cook: Goal is to double Apple's services revenue by 2020 - CNBC,GoogleNewsRSS,https://news.google.com/rss/articles/CBMiogFBVV95cUxQV3k4LWJGQUtwbXB4MjRDV3RyaDZhNFhVQi1DWDRZZEY1VklXdXlYdzdHMTNrUm5jNmx6SHpRLUY1M3hjRlBkRWlKeWN3bDlmY3RvWUZuNW5jR0J0TU53OEFFTXpvSFpSQ1d5Q2ZTbUNKZURPQWw0TzhOT1k0ZVRzZl9PNVdOTWxRTk9zRFNmaTJrRktUVVkwRjRsWTFvU3BUNHfSAacBQVVfeXFMTTVlam1aVEMxSExmcEFqaWdrUklRcnk5ekxfaTIyNGcyNGk4RDNjMUg3akpad2VMVHo5QklHX1RmMUlubVF4eUl1RHNXQnAxR2JUSUdUbGU0ckpTampPRE1BQWxDd0NYM1FxdG9JSHFReDdoWm1BTlE5YVdmdHdVVTJQb2syNlVzVlQycFp1eF9nYTNmT3hnUm1BNllZX2hQZUFaeEpZRGc?oc=5,2017-01-31 08:00:00,Apple earnings 2020,,Tim Cook: Goal is to double Apple's services revenue by 2020 - CNBC,https://news.google.com/rss/articles/CBMiogFBVV95cUxQV3k4LWJGQUtwbXB4MjRDV3RyaDZhNFhVQi1DWDRZZEY1VklXdXlYdzdHMTNrUm5jNmx6SHpRLUY1M3hjRlBkRWlKeWN3bDlmY3RvWUZuNW5jR0J0TU53OEFFTXpvSFpSQ1d5Q2ZTbUNKZURPQWw0TzhOT1k0ZVRzZl9PNVdOTWxRTk9zRFNmaTJrRktUVVkwRjRsWTFvU3BUNHfSAacBQVVfeXFMTTVlam1aVEMxSExmcEFqaWdrUklRcnk5ekxfaTIyNGcyNGk4RDNjMUg3akpad2VMVHo5QklHX1RmMUlubVF4eUl1RHNXQnAxR2JUSUdUbGU0ckpTampPRE1BQWxDd0NYM1FxdG9JSHFReDdoWm1BTlE5YVdmdHdVVTJQb2syNlVzVlQycFp1eF9nYTNmT3hnUm1BNllZX2hQZUFaeEpZRGc?oc=5,Google RSS,28.01879611236668,28.074301280568644,27.896221390535164,28.06505012512207,196804000,0.0,0.0,26.793321418762208,24.674505710601807,27.03792481040672,25.518682345596407,69.81244005083538,0.3757547729088166,0.3736934003098971,0.0020613725989195,28.46659532977889,27.653381824493408,26.84016831920793,0.2824615608816408,33.03757173906432,1
Apple (AAPL) Dividend Analysis: How It's Changed Over the Last 12 Years - Investopedia,GoogleNewsRSS,https://news.google.com/rss/articles/CBMimAFBVV95cUxPN1hFZVEzQ3dfN1hFVjFhSW1weVdNZG92TFlYOHllMVJYQzBFUzJ4NWRZcmF2RWxCbWlhd3RhbVJmUE5uQzFxZXpfUnhQV0o3aEo4UmVMekNkMUtNbTNWTnE1QVQwUVlnSElIdkNmalFYOU5tcURiWnp0UEdOaTFieFdhbXM2SEdrc1lfdGRPMWpfOGdTR0JxWQ?oc=5,2017-03-25 00:05:29,Apple earnings 2022,,Apple (AAPL) Dividend Analysis: How It's Changed Over the Last 12 Years - Investopedia,https://news.google.com/rss/articles/CBMimAFBVV95cUxPN1hFZVEzQ3dfN1hFVjFhSW1weVdNZG92TFlYOHllMVJYQzBFUzJ4NWRZcmF2RWxCbWlhd3RhbVJmUE5uQzFxZXpfUnhQV0o3aEo4UmVMekNkMUtNbTNWTnE1QVQwUVlnSElIdkNmalFYOU5tcURiWnp0UEdOaTFieFdhbXM2SEdrc1lfdGRPMWpfOGdTR0JxWQ?oc=5,Google RSS,32.86708941255506,32.92283698855031,32.59997314245157,32.66733169555664,89582400,0.0,0.0,30.73069923400879,26.41885142326355,30.92181852195435,27.468706951828104,65.12806702337637,0.5300472731424719,0.6265292959594421,-0.0964820228169701,32.974105906319785,32.42274732589722,31.87138874547465,0.3280439938735259,60.75518853563552,0
Who Are Apple's Main Competitors in Tech? - Investopedia,GoogleNewsRSS,https://news.google.com/rss/articles/CBMikgFBVV95cUxOVXN5bkJiSDYtR1g1anBmaFQwRUxTZ0xSZWwxem12ZlpwVHppTm41REYwZ3NTS1d3clJ6T1d1VUYwQUZvdTFtMmtEYi1MNzkyMXZDQl95ZWgwXzlqNHI2MkdxTk9JMmVMeEtWR0txbWVJSV9mTkJWZTlyYXRqVTZTVDlCZzBGRUhueC1pTm5KWEloQQ?oc=5,2017-03-25 07:36:31,Apple innovation 2021,,Who Are Apple's Main Competitors in Tech? - Investopedia,https://news.google.com/rss/articles/CBMikgFBVV95cUxOVXN5bkJiSDYtR1g1anBmaFQwRUxTZ0xSZWwxem12ZlpwVHppTm41REYwZ3NTS1d3clJ6T1d1VUYwQUZvdTFtMmtEYi1MNzkyMXZDQl95ZWgwXzlqNHI2MkdxTk9JMmVMeEtWR0txbWVJSV9mTkJWZTlyYXRqVTZTVDlCZzBGRUhueC1pTm5KWEloQQ?oc=5,Google RSS,32.86708941255506,32.92283698855031,32.59997314245157,32.66733169555664,89582400,0.0,0.0,30.73069923400879,26.41885142326355,30.92181852195435,27.468706951828104,65.12806702337637,0.5300472731424719,0.6265292959594421,-0.0964820228169701,32.974105906319785,32.42274732589722,31.87138874547465,0.3280439938735259,60.75518853563552,0
