Title,Date,Link,Source,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,EMA_50,EMA_200,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR,ADX,gpt_summary,gpt_sentiment_direction,gpt_sentiment_score,gpt_positive_score,gpt_negative_score,gpt_event_type,gpt_relevance_to_apple,gpt_importance_score
iPhone - Apple Newsroom,2007-01-09 23:23:21+00:00,https://news.google.com/rss/articles/CBMiQ0FVX3lxTE9DSkZzY05NR0REZ19CYUJsdE15aS0yLUFDSHE4Q3VzMDNUbTJhSW9YdHF5dlZZd3paRzlsc096b3BUZ28?oc=5,Google RSS,2.6015920139140705,2.79810291431467,2.5624698370713825,2.785764455795288,3349298400,0.0,0.0,2.5750008058547973,2.1399753201007843,2.536140273275252,2.2233903357225664,66.15938102012058,0.0041549412920138,-0.01146542272982,0.0156203640218339,2.751055687000881,2.575109088420868,2.399162489840854,0.088979807228984,33.72127290016668,Apple announces the launch of the new iPhone.,,,,,,,
Apple Events - Apple Newsroom,2010-07-04 21:57:14+00:00,https://news.google.com/rss/articles/CBMiS0FVX3lxTFBzNWM2R3FuWEtRanlvRzFpc0ZZblNPbEFIWl96RzkweWFxOEtPWS0wbWtYa1hRdEN3a2RfZUdubVpuUklXeUxMbHNnbw?oc=5,Google RSS,7.538143647732431,7.551385935612834,7.318761551701027,7.431312561035156,693842800,0.0,0.0,7.742210168838499,6.602303726673126,7.651364888260027,6.636202129124679,39.31227966321239,-0.0029091462809258,0.0772955513627725,-0.0802046976436983,8.426444381721929,7.819460606575012,7.212476831428095,0.2402807047290735,20.79060705965698,"Apple announced new products and updates at their recent Apple Event, including the iPhone 13, iPad Mini, Apple Watch Series 7, and more.",,,,,,,
MacBook Pro - Apple Newsroom,2012-06-11 19:58:27+00:00,https://news.google.com/rss/articles/CBMiSkFVX3lxTE9GM0hIN2Qzc0w3NlZ5amVmOGRrNzFQUHJwUEZJRVdSWWtseVl3c1Q4Vl93MW1lREM1MFlnSFFwcmh3b1ZET2ZTMDhn?oc=5,Google RSS,17.6866084549509,17.710081194039375,17.172308768095053,17.188560485839844,591264800,0.0,0.0,17.52964117050171,14.23317982196808,17.08761341660867,14.809543497433834,50.6772532619465,-0.0088982567678037,-0.0774917795969648,0.068593522829161,17.74391349539205,16.922141790390015,16.10037008538798,0.4338934219063323,14.931798559515128,"Apple introduces new MacBook Pro with M1 Pro and M1 Max chips, featuring improved performance and battery life.",,,,,,,
Mac mini - Apple Newsroom,2012-10-24 14:03:37+00:00,https://news.google.com/rss/articles/CBMiRkFVX3lxTFBQWU9wVVJtcElLVGN4aVIxb2xaa0VjM19yS1JtS1JVUURwbWJpcEV2bmg4elgwZktlUXBscEN4Mzc5ZGt6Unc?oc=5,Google RSS,18.781662300327216,18.93609994501321,18.4552549600305,18.642333984375,558527200,0.0,0.0,19.97981918334961,17.65799234867096,19.51055968210668,17.53774012534853,39.80918293315194,-0.3691323975068457,-0.2787049688583055,-0.0904274286485401,20.621559150318657,19.446199893951416,18.27084063758417,0.4662926355969962,29.93921857840609,"Apple announces new Mac mini with M1 chip, offering up to 3x faster CPU performance and up to 6x faster graphics.",,,,,,,
Inclusion & Diversity - Apple Newsroom,2014-08-12 20:58:05+00:00,https://news.google.com/rss/articles/CBMiR0FVX3lxTE5GbkNJNXo2QkNJOEFsVEE5dkFPTG5aQUpTSXdsa2NIMzlZM1paeHNZQ3JjVzQ3T214WDNzMjlWLVpYNUlRWWFV?oc=5,Google RSS,21.271840401269447,21.45789067060437,21.176599899634702,21.256336212158203,135180000,0.0,0.0,20.75412311553955,17.99766644001007,20.5752547436356,18.34859694761992,56.45515170838546,0.125972910067496,0.1803987932747505,-0.0544258832072545,21.82291486676372,21.145351123809814,20.46778738085591,0.336273399411341,18.942136754818907,"Apple announces new $200 million fund to support racial equity and justice initiatives, as part of their ongoing efforts to promote inclusion and diversity.",,,,,,,
Apple's iOS App Store now generating 4x revenues per app vs Android Google Play - AppleInsider,2016-07-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMivgFBVV95cUxNb0xlUkpRd3ZQelVTRXNOUkVMS2k2MGNrVnZwaXJ5VUlBQy1KclJGTEpIa2M1dG0wSWxwOXc1QmR4Y0FDY19uX0Z4N19zRVpXY01fb0NtNkl1STFBcUFaeVNHd2FFSW9jb1BOTkVtNXNQY2xJbm5MdmlLLWdrQkJRQUpJeTZLU2N0NFJkSURKbUJfc3ZQSDlLVG1jZkFrT2EzSFEwenlXckdOZzZsZEpuRGVYUWZuZThHbXNJU0VR0gHEAUFVX3lxTE1tRGVxQTRRVTVIQTYwSl9zMTBEU3E0MmlYTmNBZnlKQVFWUkZTaERZTkpiSUhfb1NfUXhvdWhWaTJQdHV0SjlPYjJ6OHFLZ3FBWW42NWVVNzRRZm9fcEZrMTlkenlwNjEtVG1OdzRtaDVHa1VuWG1lV1EzV2dKVzVvejI3eHdMa1BydXUzNlUwZGw1TDFtdFp1YkZCM3NYTXIzdHdXakw0emU2YlpEWDN0WlZBTTF6NWZEN3BfOXVjZzlJSXk?oc=5,Google Custom,22.784548102673607,22.885243733824208,22.73420028709831,22.855493545532227,95119600,0.0,0.0,22.05570484161377,23.636235265731813,22.29727794683404,23.43820495098944,64.07736555589801,0.1524861890619284,0.0194079972521497,0.1330781918097787,22.938190206183133,22.01744079589844,21.09669138561374,0.3125944695518738,16.789055229803477,iOS App Store is generating 4 times more revenue per app compared to Android Google Play.,,,,,,,
"MacBook Air: History, specs, pricing, review, and deals - 9to5Mac",2016-08-10 16:23:49+00:00,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1TQmg5bjMxRG11UGFIMVBIVkNSc1ZhQXFQeXZ5S2F2clRFdk5hamkyTFhVYWgzem95aS04TmFnbjZWU3lXMjBLTkVPZkVxQXpx?oc=5,Google RSS,25.01332367653352,25.05704175772432,24.79473678150801,24.849958419799805,96034000,0.0,0.0,22.67739303588867,23.51514430999756,23.064265053629608,23.491995980004468,71.10246311660669,0.6907595847064982,0.540441765153156,0.1503178195533422,25.431404586955185,23.555755710601808,21.68010683424843,0.3616218980810966,33.0527418547198,"The article provides a comprehensive overview of the history, specifications, pricing, reviews, and deals related to the MacBook Air.",,,,,,,
Apple Store to Feature 5 Million Apps by 2020 With Games Setting the Pace - Innovation Village,2016-08-11 07:00:00+00:00,https://news.google.com/rss/articles/CBMigwFBVV95cUxQQ1JFLVBCMXpWLTNsbkhlanphN3ZJOE9lNGc0MFp3ZkczSGsxTWU3SHpBRENWS0tXVFQyY0RGalNEcFRXbEU3UFpMVHBuMlg5dEgwMUlZWEVSTXJETWZKaUlOTDRYOEFOVWl6T0lGWW1Cb2RtRjhad2lJQTJqV2V5YWpPRQ?oc=5,Google RSS,24.969602496253795,25.06394113228004,24.81544115761307,24.83384895324707,109938000,0.0,0.0,22.72341369628906,23.5094647026062,23.13366050067343,23.505347750882503,70.74910780306526,0.689178381545883,0.5701890884317014,0.1189892931141816,25.568534694152422,23.66703100204468,21.76552730993693,0.3535417606943732,34.45306196014084,"Apple Store will have 5 million apps by 2020, with games leading the way.",,,,,,,
Tim Cook: Goal is to double Apple's services revenue by 2020 - CNBC,2017-01-31 08:00:00+00:00,https://news.google.com/rss/articles/CBMiogFBVV95cUxQV3k4LWJGQUtwbXB4MjRDV3RyaDZhNFhVQi1DWDRZZEY1VklXdXlYdzdHMTNrUm5jNmx6SHpRLUY1M3hjRlBkRWlKeWN3bDlmY3RvWUZuNW5jR0J0TU53OEFFTXpvSFpSQ1d5Q2ZTbUNKZURPQWw0TzhOT1k0ZVRzZl9PNVdOTWxRTk9zRFNmaTJrRktUVVkwRjRsWTFvU3BUNHfSAacBQVVfeXFMTTVlam1aVEMxSExmcEFqaWdrUklRcnk5ekxfaTIyNGcyNGk4RDNjMUg3akpad2VMVHo5QklHX1RmMUlubVF4eUl1RHNXQnAxR2JUSUdUbGU0ckpTampPRE1BQWxDd0NYM1FxdG9JSHFReDdoWm1BTlE5YVdmdHdVVTJQb2syNlVzVlQycFp1eF9nYTNmT3hnUm1BNllZX2hQZUFaeEpZRGc?oc=5,Google RSS,28.01879611236668,28.074301280568644,27.896221390535164,28.06505012512207,196804000,0.0,0.0,26.793321418762208,24.674505710601807,27.03792481040672,25.518682345596407,69.81244005083538,0.3757547729088166,0.3736934003098971,0.0020613725989195,28.46659532977889,27.653381824493408,26.84016831920793,0.2824615608816408,33.03757173906432,Tim Cook's goal is to double Apple's services revenue by 2020.,,,,,,,
Apple (AAPL) Dividend Analysis: How It's Changed Over the Last 12 Years - Investopedia,2017-03-25 00:05:29+00:00,https://news.google.com/rss/articles/CBMimAFBVV95cUxPN1hFZVEzQ3dfN1hFVjFhSW1weVdNZG92TFlYOHllMVJYQzBFUzJ4NWRZcmF2RWxCbWlhd3RhbVJmUE5uQzFxZXpfUnhQV0o3aEo4UmVMekNkMUtNbTNWTnE1QVQwUVlnSElIdkNmalFYOU5tcURiWnp0UEdOaTFieFdhbXM2SEdrc1lfdGRPMWpfOGdTR0JxWQ?oc=5,Google RSS,32.86708941255506,32.92283698855031,32.59997314245157,32.66733169555664,89582400,0.0,0.0,30.73069923400879,26.41885142326355,30.92181852195435,27.468706951828104,65.12806702337637,0.5300472731424719,0.6265292959594421,-0.0964820228169701,32.974105906319785,32.42274732589722,31.87138874547465,0.3280439938735259,60.75518853563552,The Apple (AAPL) dividend analysis examines how it has changed over the last 12 years.,,,,,,,
